Energy train,Energy test,Accuracy,Model,Pretrained,Score,Defuzzification_Mode
502920.29050180735,279.1659551963307,0.01,vgg16,False,4.0,lom
94097.5703446374,258.2509448529776,0.01,vgg16,False,25.655611659122545,centroid
94097.5703446374,258.2509448529776,0.01,vgg16,False,25.23005650373335,bisector
94097.5703446374,258.2509448529776,0.01,vgg16,False,25.0,mom
94097.5703446374,258.2509448529776,0.01,vgg16,False,24.0,som
94097.5703446374,258.2509448529776,0.01,vgg16,False,26.0,lom
484633.6614617127,240.15781972085784,0.3473,shufflenet_v2_x0_5,False,30.774109074083018,centroid
484633.6614617127,240.15781972085784,0.3473,shufflenet_v2_x0_5,False,28.243134025837715,bisector
484633.6614617127,240.15781972085784,0.3473,shufflenet_v2_x0_5,False,25.0,mom
484633.6614617127,240.15781972085784,0.3473,shufflenet_v2_x0_5,False,18.0,som
484633.6614617127,240.15781972085784,0.3473,shufflenet_v2_x0_5,False,32.0,lom
442174.1539105998,194.3517397674239,0.3557,shufflenet_v2_x0_5,False,32.39200717073344,centroid
442174.1539105998,194.3517397674239,0.3557,shufflenet_v2_x0_5,False,29.677816281634254,bisector
442174.1539105998,194.3517397674239,0.3557,shufflenet_v2_x0_5,False,25.0,mom
442174.1539105998,194.3517397674239,0.3557,shufflenet_v2_x0_5,False,18.0,som
442174.1539105998,194.3517397674239,0.3557,shufflenet_v2_x0_5,False,32.0,lom
286489.74216740904,190.4751705934581,0.01,squeezenet1_0,False,23.757886161290898,centroid
286489.74216740904,190.4751705934581,0.01,squeezenet1_0,False,23.52855283403931,bisector
286489.74216740904,190.4751705934581,0.01,squeezenet1_0,False,25.0,mom
286489.74216740904,190.4751705934581,0.01,squeezenet1_0,False,15.0,som
286489.74216740904,190.4751705934581,0.01,squeezenet1_0,False,35.0,lom
397327.6140813529,204.6671455755582,0.3365,mobilenet_v2,False,33.78042830140879,centroid
